NAMA_DESA,KODE_DESA,LUAS,PENDUDUK,TOTAL_AREA
Padowan,34.01.040.006,1404.0,1812,282.1
Ngentakrejo,34.01.050.006,5409.0,6093,653.5
Sentolo,34.01.060.007,6048.0,7376,558.1
Margosari,34.01.070.004,5340.0,5152,646.7
Hargowilis,34.01.080.003,13308.0,6977,1302.0
Tanjungharjo,34.01.090.004,5849.0,4441,612.7
Kebonharjo,34.01.110.001,7486.0,2894,492.8
Sidoharjo,34.01.110.004,13745.0,5403,981.5
Ngargosari,34.01.110.006,7244.0,4094,654.7
Banjararum,34.01.120.001,12389.0,9625,1425.0
srigading,34.02.020.003,7577.0,9577,279.5
Panjangrejo,34.02.040.002,5709.0,9700,602.5
Caturharjo,34.02.060.001,5931.0,10712,731.4
Wijiharjo,34.02.060.004,4673.0,9906,336.4
Palbapang,34.02.070.001,5524.0,12651,513.6
Canden,34.02.080.002,5361.0,9742,531.3
Karangtengah,34.02.090.004,2878.0,4521,261.2
Muntuk,34.02.100.002,10631.0,7235,1241.0
Jatimulyo,34.02.100.005,7910.0,6454,1107.0
Prelet,34.02.110.002,4252.0,8886,388.3
Srimulyo,34.02.120.002,14556.0,13789,1574.0
Sngosaren,34.02.130.003,673.0,2395,102.0
Baturetno,34.02.130.007,3936.0,8867,520.4
Pendowoharjo,34.02.140.001,6980.0,16123,572.2
Bangunharjo,34.02.140.003,6791.0,17187,741.9
Argomulyo,34.02.170.004,9550.0,12162,809.3
Giriasih,34.03.010.002,8434.0,1618,676.2
Giriwungu,34.03.010.007,11230.0,2465,1079.0
Krambilsawit,34.03.020.001,14788.0,5103,1380.0
Kepek,34.03.020.005,9808.0,5725,933.7
Karangduwet,34.03.020.008,7549.0,6652,1760.0
Mulusan,34.03.020.010,7794.0,4527,793.1
Kemadang,34.03.030.002,19285.0,6165,2026.0
Ngestirejo,34.03.030.004,13450.0,5605,1511.0
Giripanggung,34.03.030.008,20360.0,6856,1587.0
Tileng,34.03.040.004,16998.0,4508,1550.0
Ptingombo,34.03.040.011,10216.0,3892,761.6
Pacarejo,34.03.050.001,26750.0,16182,2257.0
Dadapayu,34.03.050.003,22402.0,7890,2705.0
Sidorejo,34.03.060.002,9902.0,3982,1435.0
Umbulrejo,34.03.060.011,13846.0,6961,823.6
Wiladeg,34.03.070.003,6954.0,4868,777.7
Wunung,34.03.080.001,8147.0,3394,992.0
Wonosari,34.03.080.010,3500.0,8873,405.7
Plembutan,34.03.090.002,5718.0,4414,731.0
Ngawu,34.03.090.008,3444.0,3968,284.7
